Titel;Geltungsbereich;Kategorie;Beschreibung
Redirects in Guards;Frontend;BestPractice;Guards sollten keine Redirects oder derartige Navigationen ausführen. Besser ist es Zugriffe mittels canMatch zu prüfen und Redirects über das Routing abzubilden
TrackBy;Frontend;Performance;Alle Verwendungen von *ngFor müssen mit einem trackBy ausgesattet werden. Werden FormularElemente (FormControl, FormArray oder FormGroup) iteriert, so kann der Helper idFormTrackBy aus der Dependency @Musterfirma/cc-forms verwendet werden.
EnumValues;Frontend, Backend;Wartbarkeit, CodeQuality;Enummerationen sind immer mit einem eindeutigen String-Value anzugeben, der dem EnumKey entspricht
Typescript-Dateinamen;Frontend, Backend;Projektstruktur;Alle Typescript-Dateien müssen dem folgenden Schema entsprechen: [name].[typ].ts Name: Name der Datei in Kebab-Case Typ: Typ des Dateiinhaltes (z.B. service, component, controller usw.) in Kebab-Case
Dependency-Injection;Frontend;BestPractice;Bevorzugt werden Abhängigkeiten über den Konstruktor injiziert. Dem Entwickler ist aber freigestellt inject() zu verwenden.
Required-Properties in Klassen;Frontend, Backend;CodeQuality;Die Verwendung des ! -Postfixes an Properties ist generell untersagt. Ursache: Der Postfix umgeht Typisierungsprobleme, welche besser über eine saubere Typisierung gelöst werden sollte. Beispiel @Input() in Angular: Inputwerte sind nie sicher gesetzt, auch wenn Angular sich um deren Bereitstellung kümmert oder dieser am Decorator als required markiert sind. Inputs werden erst zu einem späteren Lifecycle gesetzt, zwischen der Ausführung des Konstruktors und dem ersten Aufruf von ngOnChanges sind diese Werte ggf. undefined . Als weiteres Problem sind hier programmatisch erzeugte Komponenten (mittels ViewContainerRef) zu nennen, bei dieser Art der Erzeugung greifen die Angular-Automatismen nicht. Sind Eingabewerte für eine Angular-Komponente zwingend erforderlich, so sollte der Input-Parameter mittels required  in dem @Input Decorator markiert werden.
required Inputs;Frontend;BestPractice;Achtung: Dies stellt nicht sicher, dass der Wert auch wirklich gesetzt ist. Die Verwendung des ! Postfixes ist somit nicht zulässig.
Wiederbeleben eines Subjects/Observables nach Fehlern;Frontend, Backend;BestPractice;Der RxJs-Operator retry kann verwendet werden um ein geschlossenes Subject/Observable wiederzubeleben, falls das Observable z.B. durch einen Error geschlossen wurde. Dadurch reagiert das Subject nicht mehr, wenn es getriggert wird.
Verwendung von Pipes;Frontend;BestPractice, Performance;Pipes sollten lediglich zur Transformation von Daten zu Strings verwendetet werden. Eine Verwendung zur Modifikation von komplexen Objekten sollte vermieden werden, da dies zu Performance-Problemen führen kann.
Angular Version;Frontend;Security, Performance;Es wird angestrebt immer die zweitneuste Version (major) von Angular einzusetzen. Federführend ist jedoch das Projekt @Musterfirma/cc-app-template
Build-Plattform;Frontend, Backend;CI/CD;Abgesehen von lokalen Entwicklungsbuilds werden Projekte ausschließlich auf dem internen Bamboo-Build-Server gebaut https://bamboo.musterfirma.net/
Releases;Frontend, Backend;CI/CD;Releases werden durch das Setzen und Pushen eines Git-Tags von dem master Branch getriggert
Branch-Namen;Frontend, Backend;CI/CD;Zulässige Branchnamen bzw. Namenspattern sind: master, develop, feature/*, hotfix/*, bugfix/*, release/*,
Änderungen auf dem Master-Branch;Frontend, Backend;CI/CD;Änderungen auf dem master -Branch sind nur im Rahmen eines Releases zulässig und begrenzen sich lediglich auf das Anpassen der Version in der package.json sowie der Pflege des Release-Datums in der CHANGELOG.md
Änderungen auf dem Develop-Branch;Frontend, Backend;CI/CD;Änderungen auf dem develop-Branch sind nur durch das Stellen von Pull-Requests im Bitbucket zulässig
Review-Pflicht;Frontend, Backend;CI/CD;Alle Änderungen am Quellcode müssen vor der Übernahme in den develop-Branch durch mindestens einen internen Entwickler gereviewt werden. Dieser Reviewer darf nicht selbst der Author der Änderungen sein. Zusätzliche, auch externe Entwickler, sind als Reviewer zulässig.
Erfolgreicher Build bei Review;Frontend, Backend;CI/CD;Reviews setzen voraus, dass der Build erfolgreich durchgelaufen ist, wodurch sichergestellt wird, dass: das Projekt buildfähig ist, alle Tests erfolgreich waren, alle Linting-Regeln erfüllt sind, alle Formatierungsregeln erfüllt sind
IDE;Frontend, Backend;BestPractice;Dem Entwickler ist die Wahl der IDE freigestellt, solange sichergestellt ist, dass er damit effizient in unserer Umgebung und mit unseren Tools und Technologien arbeiten kann. Bevorzugt wird die Verwendung der IntelliJ, Offiziell unterstützt werden IntelliJ und VSCode - für andere IDEs ist der Entwickler selbst zuständig.
Klassennamen;Frontend, Backend;CodeQuality;Klassen werden in PascalCase geschrieben und bilden sich aus dem zugehörigen Dateinamen. Der Name einer Klasse ist immer möglichst sprechend zu wählen, sodass der Sinn und Zweck der Klasse möglichst gut erkennbar wird. Variablen werden immer in CamelCase geschrieben. Der Name soll den Inhalt und Zweck der Variable möglichst kurz und verständlich wiedergeben. Notationen wie die Ungarische Notation, bei denen der Datentyp im Variablennamen verbaut wird, sind nicht zulässig.
Variablennamen;Frontend, Backend;CodeQuality;Das Markieren von privaten Variablen durch einen führenden '_' (Unterstrich) ist nicht zulässig.
Nicht-Standard-Dependencies;Frontend, Backend;Security, Wartbarkeit;Dependencies, welche nicht durch die zur Verfügung gestellten internen Libraries verwaltet werden, sind nur nach Absprache mit der Entwicklungsleitung zur Verwendung freigegeben. Diese zusätzlichen Dependencies müssen zwingend in der README.md inklusive einer Begründung dokumentiert werden.
Oberflächentest happy-Path;Frontend;CI/CD, Wartbarkeit;Alle Applikationen müssen mindestens einen Oberflächentest aufweisen, welcher den happy-Path der Anwendung abdeckt. Zusätzliche Tests sind zulässig.
Oberflächentest Framework;Frontend;CI/CD, Wartbarkeit;Oberflächentests werden mit playwright und der Dependency @Musterfirma/cc-e2e-playwright umgesetzt
Dokumentation der WebComponents;Frontend;CorporateDesign, Infrastruktur;Die Dokumentation der WebComponents ist unter der URL https://test-kube.musterfirma.net/general/c-docs-app/ verfügbar. Dort wird immer die neuste stable-Version angezeigt. Die Dokumentation für den neusten Snapshot-Build der WebComponents findet sich hier: https://dev-kube.musterfirma.net/general/c-docs-app/
Ticketsystem;Frontend, Backend;Projektmanagement, Infrastruktur;Projekte und die zugehörigen Sprints, Tasks etc. werden ausschließlich im internen Jira verwaltet: https://jira.musterfirma.net/
NPM-Repository;Frontend, Backend;Security, Infrastruktur;Alle NPM-Dependencies werden über den Nexus https://nexus-prod.musterfirma.net/ bezogen
Publishing von Npm-Packages;Frontend, Backend;Infrastruktur;Releases werden immer im Repository https://nexus-prod.musterfirma.net/repository/npm-releases/ veröffentlicht. Snapshots müssen immer in das Repository https://nexus-prod.musterfirma.net/repository/npm-snapshots/
Code-Repository;Frontend, Backend;Infrastruktur;Alle Quellcodes sind im git-Repository von Bitbucket abzulegen https://bitbucket.musterfirma.net/
Sortierung von Imports;Frontend, Backend;BestPractice;Die Reihenfolge der Imports in einer Typescript-Datei wird nicht vorgeschrieben und ist frei wählbar. Der Einsatz von Tools zur automatischen Sortierung von Imports ist untersagt, da dies nur unnötige Änderungen verursacht.
Zweckbindung eines Branches;Frontend, Backend;BestPractice;Branches zur Code-Änderung (alle außer develop, master und release) dürfen keine Änderungen enthalten, die nicht explizit dem Zweck des Branches dienen. Das Umsetzen weiterer Features oder Fixes muss in einem eigenen Branch erfolgen. Dies erleichtert die Zusammenarbeit der Entwickler und macht die Reviews deutlich übersichtlicher.
README.md;Frontend, Backend;Dokumentation, Wartbarkeit;"Jedes Projekt muss in seinem Wurzelverzeichnis eine README.md enthalten. Diese Datei muss Aufschluss über die folgenden Dinge geben: Sinn und Zweck des Projektes, Anleitung zum Herstellen der Entwicklungsfähigkeit / Getting Started, Dokumentation der involvierten Umsysteme
Anleitung zum Starten der Anwendung, Anleitung zum Ausführen der Tests, Beschreibung der Projektstruktur, Dokumentation der Konfigurationsparameter, Auflistung von verwendeten Nicht-Standard-Dependencies, weitere Besonderheiten (wenn vorhanden), Dokumentation des Datenbankschemas (wenn vorhanden)"
Changelog;Frontend, Backend;Dokumentation;Jede Änderung im Quellcode muss in Form eines Changelog-Eintrags in der CHANGELOG.md in der passenden Version dokumentiert werden. Zielgruppe des Changelogs sind andere Entwickler. Der Aufbau des Changelogs orientiert sich an https://keepachangelog.com/, Das Changelog selbst liegt im Wurzelverzeichnis des Projektes und trägt den Namen CHANGELOG.md
Backend-DTO-Classes;Backend;CodeQuality;Alle DTOs sind im Backend als Klassen umzusetzen. Dies ist notwendig, damit Swagger alle Informationen zur Laufzeit auslesen kann.
Klassen immer instanziieren;Frontend, Backend;CodeQuality;Werden Objekte mittels Klassen typisiert (z.B. DTOs im Backend), so sind diese auch als Instanzen dieser Klassen zu erzeugen. Im Backend kann dies z.B. mithilfe des clazz-transformer packages erfolgen. Hintergrund: Dies vermeidet Verwirrungen, weshalb z.B. Instanceof-Checks nicht funktionieren, obwohl der Entwickler glaubt, eine Klasseninstanz in der Hand zu halten.
Keine Methoden an Models und DTOs;Frontend, Backend;CodeQuality;Models oder DTOs können als Klassen typisiert werden, dürfen aber keine Methoden haben. Begründung: Diese Strukturen sollen so einfach wie nur möglich gehalten werden und keine Logik beinhalten.
keine komplexen Templates;Frontend;CodeQuality, Performance;Angular-Templates sollten keine komplexen Logiken/Berechnungen enthalten. Mantra: Ein Designer sollte in der Lage sein, ein Template zu lesen und zu erstellen.
keine Methoden in Property Bindings;Frontend;Performance;Für das Property Binding dürfen keine Methoden verwendet werden, nur direkte Ausdrücke oder Template-Variablen.
Vermeiden von Mehrfachabfragen durch Async-Pipe;Frontend;Performance;Die async-Pipe sollte bewusst verwendet werden. Bei Verwendung mit HTTP-Requests muss beachtet werden, dass Requests nicht mehrfach ausgelöst und ans Backend gesendet werden (geeignete Caching-Strategie verwenden).
Observable-Naming;Frontend, Backend;BestPractice;Zur Besserungen Identifizierung eines Observables im Quellcode wird entsprechenden Variablen- und Methodennamen (die Observables zurück liefern) ein Dollarzeichen ($) angehängt
ReactiveForms;Frontend;BestPractice;Die Entwicklung erfolgt immer mittels ReactiveForms (keine TemplateDriven Forms). Standardwerte und Validatoren werden demnach im Code am FormControl bzw. einer FormGroup definiert und nicht im HTML. Der FormBuilder kann zum Aufbau der Formulare verwendet werden.
Typed ReactiveForms;Frontend;CodeQuality;ReactiveForms sind immer zu typisieren.
Anzeige von Formularfeldfehlern;Frontend;BestPractice;Für die Anzeige von Validierungsfehlern im Template muss immer das errors-Objekt des Controls genutzt werden und entsprechend im error-Slots an der jeweiligen Input-Webcomponent befüllt werden. Desweiteren sollten bei bestimmten Validatoren (z.B. min-Validator) die mit dem Fehler gelieferten Zusatzinformationen genutzt werden.
Label für Required-Felder;Frontend;CorporateDesign;"Bei Pflichtfeldern (""required"") muss das Label immer mit einem durch ein Leerzeichen getrenntes Sternchen (*) enden."
Ausrichtung von Buttons;Frontend;BestPractice;Die Komponente <xx-button-group> ist DEPRECATED und darf nicht mehr genutzt werden. Für die Anordnung und Ausrichtung von Buttons sollten entsprechende Flex-Klassen (z.B. xx-flex-end) genutzt werden oder - falls dies aus bestimmten Gründen nicht geht - in Ausnahmefällen das Grid-System.
Tab-Reihenfolge bei Buttons;Frontend;Useablitity;Werden zwei oder mehrere Buttons gruppiert dargestellt, so muss der Primärbutton immer zuerst den Fokus erhalten. Dies kann durch die Reihenfolge im DOM erreicht werden. Mit der Klasse `xx-flex-row-reverse` kann der Primärbutton dann trotzdem immer noch visuell hinter dem Sekundärbutton stehen.
Optionale Methodenparameter;Frontend;CodeQuality;Optionale Parameter sollten immer durch Nutzung des Fragezeichen-Operators (?) anstatt durch undefined markiert werden
Fail Fast;Frontend, Backend;CodeQuality, Wartbarkeit;Fehler sollten frühzeitig geprüft und erkannt werden. Die Fehlerbehandlung oder ein Abbruch sollte sofort erfolgen.
Switches immer mit default-case;Frontend, Backend;CodeQuality;Switches müssen immer einen default-case besitzen, welcher ggf. einen Fehler wirft, sollte dieser Fall nicht erwartet sein.
Iteration über Enums in Templates;Frontend;BestPractice;Um über Enumerationen iterieren zu können, muss das Enum dem Template bereitgestellt werden und kann dann mittels der keyvalue Pipe ausgelesen werden.
FormControl Disabled-State;Frontend;CodeQuality;Der Disabled-State eines Formularfeldes muss immer über die disable/enable-Methoden am FormControl oder dessen übergeordneten FormArrays/FormGroups gemanaged werden
